city,ZIP,Tracking ID
Langnau am Albis,8135,1
Langnau am albis,8135,1
Laufen,4242,2
Laupen BE,3177,1
Laupersdorf,4712,1
Lausanne,1003,14
Lausanne,1004,68
Lausanne,1005,19
Lausanne,1006,20
Lausanne,1007,45
Lausanne,1010,39
Lausanne,1011,1
Lausanne,1012,14
Lausanne,1018,48
Lausanne,1030,1
Lausanne 25,1000,1
Lausen,4415,4
Le Brassus,1348,1
Le Bry,1645,1
Le Cerneux-Veusil,2345,1
Le Châble Vs,1934,1
Le Grand-Saconnex,1218,16
Le Lignon,1219,11
Le Locle,2400,5
Le Mont-Sur-Lausanne,1052,1
Le Mont-sur-Lausanne,1052,1
Le Mouret,1724,1
Le Prese,7746,1
Le Sentier,1347,1
Le Vaud,1261,1
Le landeron,2525,1
Lengnau,2543,1
Lengnau Ag,5426,1
Lengnau BE,2543,1
Lengnau Be,2543,4
Lens,3963,1
Lentigny,1745,1
Lenzburg,5600,5
Les Acacias,1227,7
Les Avanchets,1220,5
Les Moulins,1660,1
Leuzigen,3297,2
Leysin,1854,1
Lichtensteig,9620,1
Liebefeld,3097,11
Liestal,4410,19
Locarno,6600,1
Lodrino,6527,1
Lonay,1027,1
Lucens,1522,3
Lugaggia,6953,1
Lugano,6900,11
Lugano,6915,2
Lumino,6533,1
Lupfig,5242,1
Luterbach,4542,3
Lutry,1095,4
Luzern,6003,18
Luzern,6004,9
Luzern,6005,7
Luzern,6006,6
Luzern,6014,3
Luzern,6015,5
Luzern,6215,1
Lyss,3250,5
Lätti,3053,1
Läufelfingen,4448,1
Lüchingen,9450,1
Lütisburg,9604,1
Lütschental,3816,1
Lützelflüh-Goldbach,3432,1
Madiswil,4934,1
Magden,4312,2
Maienfeld,7304,1
Malleray,2735,1
Maloja,7516,2
Malters,6102,2
Marin-Epagnier,2074,1
Marly,1723,7
Martigny,1920,15
Martigny-Croix,1921,2
Massagno,6900,2
Massongex,1869,3
Massonnens,1692,1
Mathod,1438,1
Matran,1753,1
Matten B. Interlaken,3800,1
Matzingen,9548,1
Mayens-De-La-Zour (Savièse),1965,1
Meggen,6045,1
Meilen,8706,6
Meiringen,3860,2
Melchtal,6067,1
Mellingen,5507,1
Mels,8887,1
Menziken,5737,2
Menzingen,6313,1
Merenschwand,5634,4
Mex,1031,1
Meyrin,1217,36
Minusio,6648,1
Mitlödi,8756,1
Mollens Vd,1146,1
Montagny-les-Monts,1774,1
Monte Carasso,6513,1
Monthey,1870,11
Montreux,1820,14
Moosleerau,5054,1
Moosseedorf,3302,3
Morges,1110,29
Moudon,1510,6
Moutier,2740,2
Mumpf,4322,1
Muraz (Collombey),1893,3
Muri,5630,2
Muri AG,5630,1
Muri Ag,5630,5
Muri B. Bern,3074,1
Murten,3280,3
Muttenz,4132,13
Mägenwil,5506,1
Männedorf,8708,3
Märstetten,8560,1
Märwil,9562,1
Mézery-près-Donneloye,1407,1
Môtier,1787,1
Möhlin,4313,5
Mönchaltorf,8617,3
Möriken Ag,5103,1
Mühlau,5642,1
Mühledorf,3116,1
Müllheim Dorf,8555,1
Mümliswil,4717,1
Münchenstein,4142,8
Münchwilen AG,4333,1
Münchwilen Tg,9542,1
Münsingen,3110,4
Naters,3904,5
Nax,1973,1
Nebikon,6244,2
Neerach,8173,1
Neftenbach,8413,2
Neirivue,1669,1
Nesselnbach,5524,1
Neuchatel,2000,1
Neuchâtel,2000,30
Neuendorf,4623,2
Neuenegg,3176,2
Neuenhof,5432,3
Neuenkirch,6206,3
Neuhausen,8212,4
Neuhausen Am Rheinfall,8212,7
Neuhausen am Rheinfall,8212,9
Neukirch (Egnach),9315,1
Neyruz,1740,3
Neyruz Fr,1740,2
Nidau,2560,9
Niderlenz,5702,1
Niederbipp,4704,1
Niederbuchsiten,4626,2
Niederdorf,4435,1
Niedergösgen,5013,2
Niederhelfenschwil,9527,1
Niederlenz,5702,5
